timestamp,src_ip,src_port,dst_ip,dst_port,protocol,length,hdr_ip_len,hdr_tcp_len,ack_flag,init_window
2025-05-15 13:12:41.280857,192.168.10.201,57123,1.0.0.1,853,6,218,20,32,1,2048
2025-05-15 13:12:41.342154,1.0.0.1,853,192.168.10.201,57123,6,66,20,32,1,10
2025-05-15 13:12:41.342284,192.168.10.201,57123,1.0.0.1,853,6,522,20,32,1,2048
2025-05-15 13:12:41.345285,1.0.0.1,853,192.168.10.201,57123,6,558,20,32,1,10
2025-05-15 13:12:41.345445,192.168.10.201,57123,1.0.0.1,853,6,66,20,32,1,2040
2025-05-15 13:12:41.357473,1.0.0.1,853,192.168.10.201,57123,6,66,20,32,1,10
2025-05-15 13:12:41.358868,1.0.0.1,853,192.168.10.201,57123,6,558,20,32,1,10
2025-05-15 13:12:41.358869,1.0.0.1,853,192.168.10.201,57123,6,558,20,32,1,10
2025-05-15 13:12:41.359026,192.168.10.201,57123,1.0.0.1,853,6,66,20,32,1,2032
2025-05-15 13:12:41.359798,192.168.10.201,57123,1.0.0.1,853,6,218,20,32,1,2048
2025-05-15 13:12:41.378350,1.0.0.1,853,192.168.10.201,57123,6,558,20,32,1,10
2025-05-15 13:12:41.378567,192.168.10.201,57123,1.0.0.1,853,6,66,20,32,1,2040
2025-05-15 13:12:41.386374,192.168.10.201,57129,142.250.114.95,443,6,78,20,44,0,65535
2025-05-15 13:12:41.400640,142.250.114.95,443,192.168.10.201,57129,6,74,20,40,1,65535
2025-05-15 13:12:41.401284,192.168.10.201,57129,142.250.114.95,443,6,66,20,32,1,131584
2025-05-15 13:12:41.401286,192.168.10.201,57129,142.250.114.95,443,6,583,20,32,1,131584
2025-05-15 13:12:41.403877,1.0.0.1,853,192.168.10.201,57123,6,558,20,32,1,10
2025-05-15 13:12:41.404026,192.168.10.201,57123,1.0.0.1,853,6,66,20,32,1,2040
2025-05-15 13:12:41.405631,192.168.10.201,57130,17.248.195.74,443,6,78,20,44,0,65535
2025-05-15 13:12:41.417258,142.250.114.95,443,192.168.10.201,57129,6,66,20,32,1,268288
2025-05-15 13:12:41.419716,142.250.114.95,443,192.168.10.201,57129,6,1466,20,32,1,268800
2025-05-15 13:12:41.419716,142.250.114.95,443,192.168.10.201,57129,6,1466,20,32,1,268800
2025-05-15 13:12:41.419717,142.250.114.95,443,192.168.10.201,57129,6,458,20,32,1,268800
2025-05-15 13:12:41.431071,192.168.10.201,57129,142.250.114.95,443,6,66,20,32,1,128384
2025-05-15 13:12:41.444457,17.248.195.74,443,192.168.10.201,57130,6,74,20,40,1,31856
2025-05-15 13:12:41.485258,192.168.10.201,52713,45.60.63.78,443,6,251,20,32,1,2048
2025-05-15 13:12:41.489150,192.168.10.201,57130,17.248.195.74,443,6,66,20,32,1,131712
2025-05-15 13:12:41.489152,192.168.10.201,57130,17.248.195.74,443,6,583,20,32,1,131712
2025-05-15 13:12:41.494851,192.168.10.201,57129,142.250.114.95,443,6,130,20,32,1,131072
